Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-02-28 22:02:40;255.59
2023-02-28 22:17:40;256.38
2023-02-28 22:32:40;257.06
2023-02-28 22:47:40;256.81
2023-02-28 23:02:41;255.75
2023-02-28 23:17:41;255.28
2023-02-28 23:32:40;256.38
2023-02-28 23:47:40;256.31
2023-03-01 00:02:40;252.44
2023-03-01 00:17:40;256.63
2023-03-01 00:32:40;256.66
2023-03-01 00:47:40;252.53
2023-03-01 01:02:40;256.19
2023-03-01 01:17:40;254.97
2023-03-01 01:32:40;255.22
2023-03-01 01:47:40;255.03
2023-03-01 02:02:40;255.88
2023-03-01 02:17:40;256.88
2023-03-01 02:32:40;254.88
2023-03-01 02:47:40;255.91
2023-03-01 03:02:40;251.91
2023-03-01 03:17:40;256.22
2023-03-01 03:32:40;255.0
2023-03-01 03:47:40;256.81
2023-03-01 04:02:40;254.91
2023-03-01 04:17:40;255.78
2023-03-01 04:32:40;256.16
2023-03-01 04:47:40;252.97
2023-03-01 05:02:40;256.66
2023-03-01 05:17:40;256.0
2023-03-01 05:32:40;254.44
2023-03-01 05:47:40;256.91
2023-03-01 06:02:40;255.13
2023-03-01 06:17:40;255.59
2023-03-01 06:32:40;256.47
2023-03-01 06:47:40;255.91
2023-03-01 07:02:41;254.97
2023-03-01 07:17:41;253.06
2023-03-01 07:32:40;253.31
2023-03-01 07:47:40;252.81
2023-03-01 08:02:40;253.88
2023-03-01 08:17:40;253.75
2023-03-01 08:32:40;254.31
2023-03-01 08:47:40;255.53
2023-03-01 09:02:40;255.66
2023-03-01 09:17:40;255.5
2023-03-01 09:32:40;256.06
2023-03-01 09:47:40;255.75
2023-03-01 10:02:40;256.13
2023-03-01 10:17:40;255.94
2023-03-01 10:32:40;256.59
2023-03-01 10:47:40;255.63
2023-03-01 11:02:40;255.81
2023-03-01 11:17:40;256.03
2023-03-01 11:32:40;255.53
2023-03-01 11:47:40;256.03
2023-03-01 12:02:40;256.78
2023-03-01 12:17:40;255.88
2023-03-01 12:32:40;256.34
2023-03-01 12:47:40;256.06
2023-03-01 13:02:40;256.38
2023-03-01 13:17:40;256.06
2023-03-01 13:32:40;256.19
2023-03-01 13:47:40;255.59
2023-03-01 14:02:40;256.28
2023-03-01 14:17:40;255.75
2023-03-01 14:32:40;255.53
2023-03-01 14:47:40;255.78
2023-03-01 15:02:41;255.97
2023-03-01 15:17:41;255.28
2023-03-01 15:32:40;255.31
2023-03-01 15:47:40;255.19
2023-03-01 16:02:40;255.47
2023-03-01 16:17:40;255.56
2023-03-01 16:32:40;255.66
2023-03-01 16:47:40;256.16
2023-03-01 17:02:40;256.06
2023-03-01 17:17:40;255.38
2023-03-01 17:32:40;256.13
2023-03-01 17:47:40;255.97
2023-03-01 18:02:40;254.84
2023-03-01 18:17:40;255.06
2023-03-01 18:32:40;253.94
2023-03-01 18:47:40;253.22
2023-03-01 19:02:40;253.69
2023-03-01 19:17:40;253.53
2023-03-01 19:32:40;253.19
2023-03-01 19:47:40;254.03
2023-03-01 20:02:40;253.22
2023-03-01 20:17:40;253.5
2023-03-01 20:32:40;254.03
